company_name,website,project_sector,project_state,industry,segment
"Lefko",,"Advanced Mfg",Texas,,
"NTxBio",,"Life Sciences",Texas,,
"PEGATRON",,"Tech",Texas,,
"Gattefossé",,"Life Sciences",Texas,,
"Gerdau",,"Advanced Mfg",Texas,,
"BMK Pharma",,"Life Sciences",Texas,,
"Yerico Manufacturing",,"Semiconductors",Texas,,
"Cancoil USA",,"Industrial Mfg",Texas,,
"Ariat International",,"Consumer/Apparel",Texas,,
"Innovative Labs",,"Life Sciences",Utah,,
"Bridor",,"Food",Utah,,
"MCM Engineering II",,"Grid/Switchgear",Utah,,
"Holtec/Hi Tech Solutions",,"Nuclear/SMR Mfg",Utah,,
"Ionic Mineral Technologies",,"Critical Minerals",Utah,,
"Integrated Rail & Resources",,"Rail/Resources",Utah,,
"Solstice Advanced Materials",,"Advanced Materials",Virginia,,
"Infinity Global",,"Advanced Mfg",Virginia,,
"Anchor",,"Defense/Maritime",Virginia,,
"Echodyne",,"Defense/Radar",Washington,,
"Frontieras North America",,"Energy/Clean Coal",West Virginia,,
"Calpine",,"Energy/Natural Gas",West Virginia,,
"Microsoft",,"Data Center/AI",Wisconsin,,
"Nestle Purina",,"Food",Wisconsin,,
"Foxconn",,"Tech",Wisconsin,,
"Milwaukee Tool",,"Advanced Mfg",Wisconsin,,
"Catalent",,"Life Sciences",Wisconsin,,
