company_name,website,project_sector,project_state,industry,segment
TransMedics,,Life Sciences,Massachusetts,Life Sciences,Biotech & Life Sciences
DuPont/DDP,,EV Materials,Michigan,Energy,Battery Storage
Legacy Port Huron Paper,,Advanced Mfg,Michigan,General Manufacturing,
Volkswagen,,Automotive,Michigan,Automotive,
Utilidata,,Grid/Tech,Michigan,Energy,Clean Energy
MOTIV Bowling,,Advanced Mfg,Michigan,General Manufacturing,
Oerlikon,,Advanced Mfg,Michigan,General Manufacturing,
Louisiana-Pacific,,Wood Products,Minnesota,Forest Products,
Sofidel,,Paper Products,Minnesota,Forest Products,
Forgent Power Solutions,,Grid/Power,Minnesota,Energy,Clean Energy
Delkor,,Advanced Mfg,Minnesota,General Manufacturing,
xAI,,Data Center/AI,Mississippi,Tech,AI & Machine Learning
Entergy Mississippi,,Energy/Power/GRID,Mississippi,Energy,Clean Energy
BWC Terminals,,Energy/Logistics,Mississippi,Logistics,
Toyota,,Automotive,Kentucky,Automotive,
Canfor,,Forest Products,Mississippi,Forest Products,
Missouri Technology Corp,,Various,Missouri,General Manufacturing,
SRC Technologies,,Defense/Electronics,Missouri,Defense,Defense Tech
Bozeman Photonics,,Photonics/Advanced Mfg,Montana,Semiconductors,Semiconductors
BD (Becton Dickinson),,Life Sciences/Medical,Nebraska,Life Sciences,Biotech & Life Sciences
Hitchiner,,Aerospace/Auto,New Hampshire,Space,Space Tech
Celltrion,,Life Sciences,New Jersey,Life Sciences,Biotech & Life Sciences
CMP Advanced Mechanical Solutions,,Battery,New York,Energy,Battery Storage
Reju,,Advanced Mfg,New York,General Manufacturing,
JetZero,,Aerospace,North Carolina,Space,Space Tech
Johnson & Johnson,,Life Sciences,North Carolina,Life Sciences,Biotech & Life Sciences
Scout Motors,,Automotive,North Carolina,Automotive,
Environmental Air Systems,,Advanced Mfg,North Carolina,General Manufacturing,
Maersk,,Logistics,North Carolina,Logistics,
FIT Precast,,Advanced Mfg,North Carolina,General Manufacturing,
Aspida Financial,,Financial Services,North Carolina,Financial Services,
Chatsworth Products,,Data Center Infrastructure,North Carolina,Tech,AI & Machine Learning
Genentech,,Life Sciences,North Carolina,Life Sciences,Biotech & Life Sciences
Novartis,,Life Sciences,North Carolina,Life Sciences,Biotech & Life Sciences
Pennsylvania Transformer Technology,,Grid,North Carolina,Energy,Clean Energy
BorgWarner,,Automotive,North Carolina,Automotive,
CITEL America,,Advanced Mfg,North Carolina,General Manufacturing,
Roche,,Life Sciences,North Carolina,Life Sciences,Biotech & Life Sciences
Novartis Gene Therapies,,Life Sciences,North Carolina,Life Sciences,Biotech & Life Sciences
Pacific Life Insurance,,Financial Services,North Carolina,Financial Services,
AWS,,Data Center,Ohio,Tech,AI & Machine Learning
Honda/LG Battery,,Automotive/EV,Ohio,Automotive,EV Battery
Louis Dreyfus Company,,Food/Agribusiness,Ohio,Food & Beverage,
Nestlé Purina,,Food/Pet Food,Ohio,Food & Beverage,
Pharmavite,,Life Sciences,Ohio,Life Sciences,Biotech & Life Sciences
Sheetz,,Food/Distribution,Ohio,Food & Beverage,
Medpace,,Life Sciences/CRO,Ohio,Life Sciences,Biotech & Life Sciences
Great Day Improvements,,Manufacturing,Ohio,General Manufacturing,
Smucker's,,Food/R&D,Ohio,Food & Beverage,
Resilience,,Life Sciences/Biopharma,Ohio,Life Sciences,Biotech & Life Sciences
BJ's Wholesale Club,,Logistics,Ohio,Logistics,
Encore Technologies,,Tech/Data Center,Ohio,Tech,AI & Machine Learning
New Horizons Baking,,Food/Mfg,Ohio,Food & Beverage,
EGLO USA,,Distribution,Ohio,Logistics,
Diversified Fall Protection,,Advanced Mfg,Ohio,General Manufacturing,
Crocs,,Logistics,Ohio,Logistics,
Gabe's,,Logistics,Ohio,Logistics,
NSG Group/Pilkington,,Advanced Mfg/Solar,Ohio,Energy,Clean Energy
PureCycle Technologies,,Advanced Mfg/Recycling,Ohio,General Manufacturing,
AMG Vanadium,,Advanced Mfg/Metals,Ohio,Metals & Materials,
Honeywell Intelligrated,,Tech/Automation,Ohio,Robotics,Robotics & Automation
Upstart,,Tech/Fintech,Ohio,Financial Services,
Crown Equipment,,Advanced Mfg,Ohio,General Manufacturing,
MRI Software,,Tech/SaaS,Ohio,Tech,
Oculii,,Tech/Autonomous,Ohio,Robotics,Autonomous Vehicles
GEALAN,,Distribution,Ohio,Logistics,
Aerospace Lubricants,,Energy/Chemicals,Ohio,Chemicals,
Lubrizol,,Energy/Chemicals,Ohio,Chemicals,
RUPES USA,,Advanced Mfg,Ohio,General Manufacturing,
Riverain Technologies,,Healthcare/AI,Ohio,Tech,AI & Machine Learning
Supply Technologies,,Logistics,Ohio,Logistics,
Joby Aviation (2nd facility),,Aerospace/eVTOL,Ohio,Space,Space Tech
Hims & Hers,,Healthcare/Digital,Ohio,Healthcare,
Revere Plastics Systems,,Advanced Mfg,Ohio,General Manufacturing,
LEWCO/LogistiQ,,Advanced Mfg,Ohio,General Manufacturing,
Salvagnini America,,Advanced Mfg,Ohio,General Manufacturing,
La Linea Verde,,Food/Agri,Ohio,Food & Beverage,
Poly6 Technologies,,Advanced Mfg/Aerospace,Ohio,Space,Space Tech
SencorpWhite,,Advanced Mfg,Ohio,General Manufacturing,
Imasen Bucyrus Technology,,Automotive,Ohio,Automotive,
Ohio Lumex,,Energy/Tech,Ohio,Tech,
Wieland Chase,,Advanced Mfg,Ohio,General Manufacturing,
Vultr,,Data Center/AI,Ohio,Tech,AI & Machine Learning
Westrafo America,,Grid/Transformers,Ohio,Energy,Clean Energy
Vallourec,,Energy/Mfg,Ohio,General Manufacturing,
Joby Aviation (propeller blades),,Aerospace/eVTOL,Ohio,Space,Space Tech
LayerZero Power Systems,,Grid/Data Center,Ohio,Energy,Clean Energy
Whirlpool,,Advanced Mfg,Ohio,General Manufacturing,
Steves & Sons,,Jackson,Georgia,General Manufacturing,
TMC Transformers,,Grid/Transformers,Georgia,Energy,Clean Energy
Flock Safety,,Tech/Security,Georgia,Tech,
Red Cedar Steel,,Advanced Mfg,Iowa,General Manufacturing,
Hyundai Steel,,Steel/Metals,Louisiana,Metals & Materials,
Moderna,,Life Sciences,Massachusetts,Life Sciences,Biotech & Life Sciences
Various AI Data Centers,,Data Center/AI,Nevada,Tech,AI & Machine Learning
Switch,,Data Center,Nevada,Tech,AI & Machine Learning
Eco King Solutions (Kingsun),,Advanced Mfg,North Carolina,General Manufacturing,
Citigroup Technology,,Financial Services,North Carolina,Financial Services,
(Data center development),,Data Center,North Dakota,Tech,AI & Machine Learning
Axium Packaging,,Advanced Mfg,Ohio,General Manufacturing,
Becker Mining,,Advanced Mfg,Ohio,General Manufacturing,
ATSG/AMES,,Aerospace,Ohio,Space,Space Tech
PRC-Saltillo,,Tech/Healthcare,Ohio,Healthcare,
EPC-Columbia,,Advanced Mfg,Ohio,General Manufacturing,
U.S. Bridge,,Advanced Mfg/Infrastructure,Ohio,General Manufacturing,
Centrus/Fluor,,Nuclear/Energy,Ohio,Energy,Clean Energy
Pacific Manufacturing,,Automotive/EV,Ohio,Automotive,EV Battery
Ohio Gratings,,Advanced Mfg,Ohio,General Manufacturing,
Vaughn Industries,,Electrical/Renewables,Ohio,General Manufacturing,
Wieland Group,,Metals,Ohio,Metals & Materials,
Google,,Data Center/AI,Oklahoma,Tech,AI & Machine Learning
Mecad USA,,Advanced Mfg,Oklahoma,General Manufacturing,
Apple,,Technology,Oregon,Tech,
Mitsubishi Electric Power Products,,Grid/Energy,Pennsylvania,Energy,Clean Energy
First Quality,,Advanced Mfg,Pennsylvania,General Manufacturing,
Eurofins Lancaster Labs,,Life Sciences,Pennsylvania,Life Sciences,Biotech & Life Sciences
QuaLex Manufacturing,,Advanced Mfg,Pennsylvania,General Manufacturing,
Quonset Business Park,,Various,Rhode Island,General Manufacturing,
Isuzu North America,,Auto,South Carolina,Automotive,
